gene_id	gene_symbol	module	k_total	k_within	protein
MMAR_RS05345	rfbC	MEblue	18.071	13.537	dTDP-4-dehydrorhamnose 3,5-epimerase
MMAR_RS03550	thiG	MEturquoise	12.902	11.97	thiazole synthase
MMAR_RS04960	MMAR_RS04960	MEturquoise	20.342	12.682	MmpS family transport accessory protein
MMAR_RS21790	ychF	MEbrown	11.995	9.011	redox-regulated ATPase YchF
MMAR_RS22155	MMAR_RS22155	MEturquoise	14.121	11.04	AraC-like ligand-binding domain-containing protein
MMAR_RS05920	MMAR_RS05920	MEyellow	6.414	2.488	sigma-70 family RNA polymerase sigma factor
MMAR_RS03620	thiD	MEgreen	19.502	10.544	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase
MMAR_RS23545	MMAR_RS23545	MEblue	13.177	4.495	hypothetical protein
MMAR_RS07475	MMAR_RS07475	MEblue	28.229	14.271	hypothetical protein
MMAR_RS18515	MMAR_RS18515	MEblue	8.266	4.139	sulfate/molybdate ABC transporter ATP-binding protein
MMAR_RS13910	MMAR_RS13910	MEyellow	10.518	2.403	class I SAM-dependent methyltransferase
MMAR_RS09685	MMAR_RS09685	MEyellow	9.86	6.226	acyl-CoA dehydrogenase family protein
MMAR_RS25070	MMAR_RS25070	MEturquoise	18.717	13.547	amidohydrolase family protein
MMAR_RS23345	MMAR_RS23345	MEturquoise	6.781	5.606	putative endonuclease domain-containing protein
MMAR_RS21625	MMAR_RS21625	MEturquoise	10.195	8.194	PE family protein
MMAR_RS19080	MMAR_RS19080	MEgreen	12.509	8.586	MFS transporter
MMAR_RS04550	MMAR_RS04550	MEbrown	10.102	4.85	cation:proton antiporter
MMAR_RS14365	MMAR_RS14365	MEbrown	12.689	8.509	virulence factor Mce family protein
MMAR_RS04290	MMAR_RS04290	MEturquoise	12.277	11.369	cytochrome c biogenesis CcdA family protein
MMAR_RS03815	MMAR_RS03815	MEblue	9.581	4.745	TetR/AcrR family transcriptional regulator
MMAR_RS04940	MMAR_RS04940	MEturquoise	12.894	6.78	crotonase/enoyl-CoA hydratase family protein
MMAR_RS18690	MMAR_RS18690	MEblue	20.12	11.69	class I SAM-dependent methyltransferase
MMAR_RS25410	MMAR_RS25410	MEgreen	14.413	5.836	ferredoxin--NADP reductase
MMAR_RS17585	MMAR_RS17585	MEbrown	12.482	9.353	putative quinol monooxygenase
MMAR_RS23785	MMAR_RS23785	MEbrown	12.938	5.606	hypothetical protein
MMAR_RS11565	MMAR_RS11565	MEgreen	19.847	11.874	acetyltransferase
MMAR_RS25730	MMAR_RS25730	MEblue	28.495	14.204	DUF475 domain-containing protein
MMAR_RS22825	MMAR_RS22825	MEturquoise	5.455	3.5	chorismate mutase
MMAR_RS00265	MMAR_RS00265	MEturquoise	10.86	8.905	DUF5631 domain-containing protein
MMAR_RS01715	MMAR_RS01715	MEblue	8.751	6.135	nuclear transport factor 2 family protein
MMAR_RS07290	nuoI	MEblue	8.883	1.641	NADH-quinone oxidoreductase subunit NuoI
MMAR_RS01160	MMAR_RS01160	MEturquoise	20.371	16.28	TetR/AcrR family transcriptional regulator
MMAR_RS28580	trpD	MEbrown	9.757	5.431	anthranilate phosphoribosyltransferase
MMAR_RS25205	MMAR_RS25205	MEbrown	9.757	5.431	enoyl-CoA hydratase ChsH3
MMAR_RS06280	MMAR_RS06280	MEgreen	6.218	4.585	TetR/AcrR family transcriptional regulator
MMAR_RS24940	MMAR_RS24940	MEyellow	14.299	3.768	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme
MMAR_RS21480	MMAR_RS21480	MEbrown	7.11	2.445	mannosyltransferase
MMAR_RS04265	MMAR_RS04265	MEturquoise	23.331	17.915	HNH endonuclease signature motif containing protein
MMAR_RS25115	MMAR_RS25115	MEturquoise	10.715	6.185	thiolase family protein
MMAR_RS06265	MMAR_RS06265	MEbrown	4.969	2.545	response regulator
MMAR_RS02770	MMAR_RS02770	MEblue	9.386	6.666	DUF7159 family protein
MMAR_RS18445	MMAR_RS18445	MEblue	6.488	1.635	reductase
MMAR_RS11760	MMAR_RS11760	MEblue	6.242	4.11	asparaginase
MMAR_RS05045	mftD	MEturquoise	11.093	9.848	pre-mycofactocin synthase MftD
MMAR_RS29635	MMAR_RS29635	MEturquoise	10.201	7.943	hypothetical protein
MMAR_RS11260	MMAR_RS11260	MEbrown	9.084	1.399	COX15/CtaA family protein
MMAR_RS26750	MMAR_RS26750	MEbrown	9.577	5.634	crotonase/enoyl-CoA hydratase family protein
MMAR_RS00800	MMAR_RS00800	MEturquoise	23.464	15.26	Rv1363c family protein
MMAR_RS06825	MMAR_RS06825	MEblue	8.169	6.472	TIGR03619 family F420-dependent LLM class oxidoreductase
MMAR_RS03325	MMAR_RS03325	MEbrown	21.548	4.849	DUF3151 domain-containing protein
MMAR_RS29685	MMAR_RS29685	MEblue	26.984	15.352	hypothetical protein
MMAR_RS19265	orn	MEgreen	18.804	10.871	oligoribonuclease
MMAR_RS07825	MMAR_RS07825	MEgreen	5.209	2.233	HNH endonuclease
MMAR_RS13860	MMAR_RS13860	MEbrown	8.431	3.955	YceI family protein
MMAR_RS05880	trpS	MEblue	6.65	4.666	tryptophan--tRNA ligase
MMAR_RS30265	MMAR_RS30265	MEturquoise	14.578	10.961	TetR/AcrR family transcriptional regulator
MMAR_RS14730	MMAR_RS14730	MEbrown	7.138	5.58	GMC family oxidoreductase
MMAR_RS02310	MMAR_RS02310	MEturquoise	9.861	7.004	fatty acyl-AMP ligase
MMAR_RS25700	MMAR_RS25700	MEgreen	13.262	8.259	SIMPL domain-containing protein
MMAR_RS19090	MMAR_RS19090	MEturquoise	14.788	9.274	DUF8010 domain-containing protein
